90	1	1	0	 HR1376	 Passed	 Availability of Certain Tax Benefits For Services As Part of Operation Allied Force	 On Passage	 H R 1376 QUESTION: ON PASSAGE AVAILABILITY OF CERTAIN TAX BENEFITS FOR SERVICES AS PART OF OPERATION ALLIED FORCE										
91	1	1	0	 HR573	 Passed	 To Authorize the President to Award a Gold Medal on Behalf of the Congress to Rosa Parks in Recognition of Her Contribution to the Nation	 On Motion to Suspend the Rules and Pass	 as Amended	 H R 573 QUESTION: ON MOTION TO SUSPEND THE RULES AND PASS	 AS AMENDED TO AUTHORIZE THE PRESIDENT TO AWARD A GOLD MEDAL ON BEHALF OF THE CONGRESS TO ROSA PARKS IN RECOGNITION OF HER CONTRIBUTION TO THE NATION								
92	1	1	0	 HRES128	 Passed	 Condemning the Murder of Human Rights Lawyer Rosemary Nelson and Calling for the Protection of Defense Attorneys in Northern Ireland	 On Motion to Suspend the Rules and Agree	 as Amended	 H RES 128 QUESTION: ON MOTION TO SUSPEND THE RULES AND AGREE	 AS AMENDED CONDEMNING THE MURDER OF HUMAN RIGHTS LAWYER ROSEMARY NELSON AND CALLING FOR THE PROTECTION OF DEFENSE ATTORNEYS IN NORTHERN IRELAND								
93	1	1	0	 HR800	 Passed	 Education Flexibility Partnership Act	 On Agreeing to the Conference Report	 H R 800 QUESTION: ON AGREEING TO THE CONFERENCE REPORT EDUCATION FLEXIBILITY PARTNERSHIP ACT										
94	1	1	0	 HR1184	 Passed	 Earthquake Hazards Reduction Authorization Act	 On Passage	 H R 1184 QUESTION: ON PASSAGE EARTHQUAKE HAZARDS REDUCTION AUTHORIZATION ACT										
95	1	1	0	 HR1141	 Passed	 Emergency Supplemental Appropriations for FY 1999	 On Motion to Instruct Conferees	 H R 1141 QUESTION: ON MOTION TO INSTRUCT CONFEREES EMERGENCY SUPPLEMENTAL APPROPRIATIONS FOR FY 1999										
96	1	1	0	 HR1554	 Passed	 Satellite Copyright	 Competition	 and Consumer Protection Act	 On Motion to Suspend the Rules and Pass	 as Amended	 H R 1554 QUESTION: ON MOTION TO SUSPEND THE RULES AND PASS	 AS AMENDED SATELLITE COPYRIGHT	 COMPETITION	 AND CONSUMER PROTECTION ACT				
97	1	1	0	 nan	 Passed	 nan	 On Approving the Journal	 JOURNAL QUESTION: ON APPROVING THE JOURNAL										
98	6	1	1	 HRES151	 Passed	 Providing for Consideration of Certain Bills and Resolutions Concerning the Federal Republic of Yugoslavia	 On Agreeing to the Resolution	 H RES 151 QUESTION: ON AGREEING TO THE RESOLUTION PROVIDING FOR CONSIDERATION OF CERTAIN BILLS AND RESOLUTIONS CONCERNING THE FEDERAL REPUBLIC OF YUGOSLAVIA										
99	6	1	1	 HR1569	 Passed	 Military Operations in the Federal Republic of Yugoslavia Limitation Act	 On Passage	 H R 1569 QUESTION: ON PASSAGE MILITARY OPERATIONS IN THE FEDERAL REPUBLIC OF YUGOSLAVIA LIMITATION ACT										
100	6	1	1	 HCONRES82	 Failed	 Directing the President	 pursuant to section 5(c) of the War Powers Resolution	 to remove U.S. Armed Forces from their positions in connection with the present operations against the Federal Republic of Yugoslavia	 On Agreeing to the Resolution	 H CON RES 82 QUESTION: ON AGREEING TO THE RESOLUTION DIRECTING THE PRESIDENT	 PURSUANT TO SECTION 5(C) OF THE WAR POWERS RESOLUTION	 OPERATIONS AGAINST THE FEDERAL REPUBLIC OF YUGOSLAVIA						
101	6	6	0	 HJRES44	 Failed	 Declaring a State of War Between the United States and the Government of the Federal Republic of Yugoslavia	 On Passage	 H J RES 44 QUESTION: ON PASSAGE DECLARING A STATE OF WAR BETWEEN THE UNITED STATES AND THE GOVERNMENT OF THE FEDERAL REPUBLIC OF YUGOSLAVIA										
102	1	6	1	 SCONRES21	 Failed	 Authorizing the President of the United States to Conduct Military Air Operations and Missile Strikes Against the Federal Republic of Yugoslavia (Serbia and Montenegro)	 On Agreeing to the Resolution	 S CON RES 21 QUESTION: ON AGREEING TO THE RESOLUTION AUTHORIZING THE PRESIDENT OF THE UNITED STATES TO CONDUCT MILITARY AIR OPERATIONS AND MISSILE STRIKES AGAINST THE FEDERAL REPUBLIC OF YUGOSLAVIA (SERBIA AND MONTENEGRO)										
103	1	1	0	 HR1480	 Passed	 Water Resources Development Act	 On Passage	 H R 1480 QUESTION: ON PASSAGE WATER RESOURCES DEVELOPMENT ACT										
104	1	1	0	 HCONRES84	 Passed	 Urging the Congress and the President to Fully Fund the Federal Government’s Obligation Under the Individuals with Disabilities Education Act	 On Motion to Suspend Rules and Agree	 as Amended	 H CON RES 84 QUESTION: ON MOTION TO SUSPEND RULES AND AGREE	 AS AMENDED URGING THE CONGRESS AND THE PRESIDENT TO FULLY FUND THE FEDERAL GOVERNMENT'S OBLIGATION UNDER THE INDIVIDUALS WITH DISABILITIES EDUCATION ACT								
