Name, State, District, allAverage, partisanAverage, billAverage,procedureAverage,resolutionAverage
RYUN; Jim, KS, 2, 0.9682819383259912, 0.9981132075471698, 0.9964028776978417, 0.9456, 0.9956896551724138
MOORE; Dennis, KS, 3, 0.9180616740088106, 0.8424124513618677, 0.9103448275862069, 0.9225700164744646, 0.9159663865546218
ROGERS; Harold Dallas (Hal), KY, 5, 0.9859525899912204, 0.9806201550387597, 0.9895470383275261, 0.9787928221859706, 1.0
LEWIS; Ron, KY, 2, 0.9820359281437125, 0.9867172675521821, 0.9965635738831615, 0.970125786163522, 0.9958677685950413
WHITFIELD; Wayne Edward (Ed), KY, 1, 0.974290780141844, 0.9598393574297188, 0.9965870307167235, 0.9549248747913188, 0.9957627118644068
NORTHUP; Anne Meagher, KY, 3, 0.978965819456617, 0.9758551307847082, 0.9965753424657534, 0.9622331691297209, 1.0
LUCAS; Ken, KY, 4, 0.8467220683287165, 0.6292906178489702, 0.842809364548495, 0.8305709023941068, 0.8879668049792531
FLETCHER; Ernest L., KY, 6, 0.9825935596170583, 0.9784735812133072, 1.0, 0.9678456591639871, 1.0
LIVINGSTON; Robert Linlithgow; Jr., LA, 1, 1.0, 1.0, 1.0, 1.0, 1.0
BAKER; Richard Hugh, LA, 6, 0.9846431797651309, 0.9899598393574297, 0.9964285714285714, 0.973109243697479, 1.0
McCRERY; James O.; III, LA, 4, 0.9846570397111913, 0.9859719438877755, 1.0, 0.9712837837837838, 1.0
JEFFERSON; William Jennings, LA, 2, 0.9661190965092402, 0.9464285714285714, 0.9462809917355371, 0.9731285988483686, 0.9715639810426541
COOKSEY; John, LA, 5, 0.9754350051177073, 0.9598108747044918, 0.9919354838709677, 0.9600760456273765, 0.9950738916256158
JOHN; Christopher, LA, 7, 0.8917378917378918, 0.7393364928909952, 0.8692579505300353, 0.8907407407407407, 0.9217391304347826
VITTER; David, LA, 1, 0.9753846153846154, 0.9840909090909091, 0.9919028340080972, 0.9608938547486033, 0.9947643979057592
TAUZIN; Wilbert Joseph (Billy), LA, 3, 0.9866071428571429, 0.99, 1.0, 0.9768211920529801, 0.9957264957264957
BALDACCI; John Elias, ME, 2, 0.9644714038128249, 0.9365384615384615, 0.9554794520547946, 0.9677938808373591, 0.966804979253112
ALLEN; Thomas H., ME, 1, 0.9766031195840554, 0.9754716981132076, 0.9686411149825784, 0.9762658227848101, 0.9872340425531915
HOYER; Steny Hamilton, MD, 5, 0.9718061674008811, 0.958984375, 0.9721254355400697, 0.9707792207792207, 0.9741379310344828
CARDIN; Benjamin Louis, MD, 3, 0.9733447979363714, 0.9541984732824428, 0.9796610169491525, 0.9763406940063092, 0.9572649572649573
MORELLA; Constance A., MD, 8, 0.8686567164179104, 0.6901041666666666, 0.9883268482490273, 0.7601547388781431, 0.9783549783549783
GILCHREST; Wayne Thomas, MD, 1, 0.9412861136999068, 0.8871681415929203, 0.9855072463768116, 0.8980322003577818, 0.9915966386554622
WYNN; Albert Russell, MD, 4, 0.9695852534562212, 0.9508196721311475, 0.9637681159420289, 0.9708904109589042, 0.9733333333333334
BARTLETT; Roscoe Gardner, MD, 6, 0.9518072289156626, 0.9793621013133208, 0.9752650176678446, 0.9251170046801872, 0.9957983193277311
EHRLICH; Robert L.; Jr., MD, 2, 0.9486948694869487, 0.9417670682730924, 0.982078853046595, 0.9158415841584159, 0.995575221238938
CUMMINGS; Elijah Eugene, MD, 7, 0.9851528384279477, 0.990530303030303, 0.9895104895104895, 0.9839228295819936, 0.9831223628691983
MOAKLEY; John Joseph, MA, 9, 0.9625228519195612, 0.9477756286266924, 0.9691119691119691, 0.9556650246305419, 0.9734513274336283
MARKEY; Edward John, MA, 7, 0.9651500484027106, 0.9759036144578314, 0.9808429118773946, 0.9515260323159784, 0.9813953488372092
FRANK; Barney, MA, 4, 0.9493908153701968, 0.9631067961165048, 0.97265625, 0.931740614334471, 0.9688888888888889
NEAL; Richard Edmund, MA, 2, 0.9639126305792972, 0.9481037924151696, 0.95703125, 0.962457337883959, 0.976303317535545
OLVER; John Walter, MA, 1, 0.97214734950584, 0.9813432835820896, 0.9779411764705882, 0.9671052631578947, 0.9785407725321889
MEEHAN; Martin Thomas, MA, 5, 0.9437896645512239, 0.9540229885057471, 0.9851301115241635, 0.9129720853858785, 0.9777777777777777
McGOVERN; James P., MA, 3, 0.974267968056788, 0.9869402985074627, 0.9854545454545455, 0.9627228525121556, 0.9914893617021276
TIERNEY; John F., MA, 6, 0.9555757026291931, 0.9758364312267658, 0.9847328244274809, 0.927652733118971, 1.0
