congress,year,name,party,state,district,margin,allAverage,partisanAverage,billAverage,procedureAverage,resolutionAverage
2010,111, DAVIS; Susan A.,100,CA,53,28.26030132,0.701428571,0.557463672,0.787790698,0.713365539,0.616091954
2012,112, DAVIS; Susan A.,100,CA,53,22.86298904,0.738317757,0.625,0.824701195,0.758909853,0.64619883
2014,113, DAVIS; Susan A.,100,CA,53,17.67312421,0.776570048,0.665919283,0.853658537,0.769436997,0.724
2016,114, DAVIS; Susan A.,100,CA,53,34.01850779,0.7514518,0.628755365,0.817391304,0.773584906,0.661538462
2018,115, DAVIS; Susan A.,100,CA,53,38.14817295,0.753213368,0.648018648,0.842931937,0.779661017,0.639484979
2000,106, DAVIS; Thomas M.; III,200,VA,11,27.55095321,0.948075201,0.915463918,0.988059701,0.90625,0.987394958
2004,108, DAVIS; Thomas M.; III,200,VA,11,21.98795083,0.807439825,0.795918367,0.983471074,0.638157895,0.967592593
2006,109, DAVIS; Thomas M.; III,200,VA,11,11.88243795,0.795302013,0.752808989,0.991111111,0.600917431,0.969957082
2000,106, DeFAZIO; Peter Anthony,100,OR,4,37.46517101,0.929070929,0.922330097,0.949458484,0.897637795,0.976851852
2002,107, DeFAZIO; Peter Anthony,100,OR,4,29.46208645,0.772727273,0.67768595,0.846153846,0.757281553,0.725
2004,108, DeFAZIO; Peter Anthony,100,OR,4,23.40007842,0.747844828,0.62248996,0.810408922,0.766666667,0.644351464
2006,109, DeFAZIO; Peter Anthony,100,OR,4,24.63513458,0.728620296,0.608870968,0.826666667,0.749373434,0.608695652
2010,111, DeFAZIO; Peter Anthony,100,OR,4,10.9172225,0.706626955,0.566481994,0.795031056,0.709570957,0.63373494
2012,112, DeFAZIO; Peter Anthony,100,OR,4,20.08314634,0.741727941,0.623529412,0.845559846,0.746391753,0.656976744
2014,113, DeFAZIO; Peter Anthony,100,OR,4,20.98465725,0.764488286,0.647982063,0.840206186,0.75890411,0.714285714
2016,114, DeFAZIO; Peter Anthony,100,OR,4,15.81741991,0.762315271,0.643518519,0.813084112,0.781609195,0.692
2018,115, DeFAZIO; Peter Anthony,100,OR,4,15.0970922,0.763758389,0.650366748,0.836956522,0.810495627,0.628440367
2000,106, DeGETTE; Diana,100,CO,1,41.43697259,0.973803071,0.967307692,0.977917981,0.96819788,0.982142857
2002,107, DeGETTE; Diana,100,CO,1,36.67888624,0.784031414,0.694444444,0.844036697,0.779141104,0.731818182
2004,108, DeGETTE; Diana,100,CO,1,49.15057963,0.737024221,0.605995717,0.821705426,0.74025974,0.633928571
2008,110, DeGETTE; Diana,100,CO,1,48.15955036,0.730203224,0.585926928,0.823369565,0.752773376,0.61682243
2010,111, DeGETTE; Diana,100,CO,1,38.66455516,0.708487085,0.568088033,0.795180723,0.719008264,0.624401914
2012,112, DeGETTE; Diana,100,CO,1,41.45831538,0.743614002,0.630088496,0.836,0.746268657,0.671597633
2014,113, DeGETTE; Diana,100,CO,1,36.84065007,0.773584906,0.66359447,0.862244898,0.761111111,0.719665272
2016,114, DeGETTE; Diana,100,CO,1,40.16082905,0.747630332,0.624175824,0.817777778,0.770718232,0.653696498
2018,115, DeGETTE; Diana,100,CO,1,50.76617626,0.761014686,0.655940594,0.844086022,0.787356322,0.646511628
2014,113, DELANEY; John,100,MD,6,1.45589285,0.767749699,0.654945055,0.836734694,0.770833333,0.709163347
