State,District,Party,Margin,Lean,Avg_Def,Minority,Nat_Margin,Year,Fresh,Calculated_C6
NY,22,0,-2.339060236,11.53,7.8333333,0,-8.6,2018,1,-1.356507993
NY,23,0,5.744381672,11.22,9.7972973,0,-8.6,2018,0,-0.75362869
NY,24,0,-0.907565735,-5.71,11.3481229,0,-8.6,2018,0,-0.174146222
NY,27,0,-4.788293025,21.63,4.2918455,0,-8.6,2018,0,-5.902179383
OH,1,0,4.417507836,9.71,3.9800995,0,-8.6,2018,0,-1.918249824
OH,2,0,16.3573971,16.99,5.3872054,0,-8.6,2018,0,-0.163439082
OH,4,0,30.52815602,26.8,10.8474576,0,-8.6,2018,0,0.581022416
OH,5,0,27.11896678,20.39,4.9710025,0,-8.6,2018,0,1.500556432
OH,6,0,38.50174356,30.39,6.8734283,0,-8.6,2018,0,1.704978367
OH,7,0,17.48723399,22.16,4.8172757,0,-8.6,2018,0,-0.712692034
OH,8,0,33.15207193,33,7.8595318,0,-8.6,2018,0,0.573860129
OH,10,0,13.76124319,7.88,7.6726343,0,-8.6,2018,0,0.392618633
OH,12,0,4.222486953,14.24,0,0,-8.6,2018,1,#DIV/0!
OH,14,0,10.4959038,10.46,8.3614865,0,-8.6,2018,0,-0.250033795
OH,15,0,18.62961329,14.26,7.8483245,0,-8.6,2018,0,0.42509905
OK,1,0,18.59889166,33.17,2.3809524,0,-8.6,2018,1,-2.142923706
OK,2,0,34.92097295,45.67,4.1072925,0,-8.6,2018,0,-0.668486125
OK,3,0,47.74784782,53.51,3.6697248,0,-8.6,2018,0,1.225371129
OK,4,0,30.06237375,39.06,5.4145516,0,-8.6,2018,0,-0.534848398
OK,5,0,-1.396886508,19.56,6.0526316,0,-8.6,2018,0,-3.381235777
OR,2,0,16.89652273,20.7,5.5740433,0,-8.6,2018,0,-0.53533622
SC,2,0,13.78359564,22.44,3.6912752,0,-8.6,2018,0,-1.987474778
SC,3,0,36.82163003,37.52,7.5268817,0,-8.6,2018,0,0.659002523
SC,5,0,15.53952667,18.6,7.2916667,0,-8.6,2018,1,0.303997256
SC,7,0,19.2511918,17.8,7.4324324,0,-8.6,2018,0,0.193254606
TN,3,0,29.20716945,34.52,3.976802,0,-8.6,2018,0,-0.130086072
TN,4,0,29.7946664,39.28,4.835924,0,-8.6,2018,0,-0.686606654
TN,8,0,37.55863818,37.26,3.8103302,0,-8.6,2018,1,2.872255057
TX,1,0,45.93588862,48.14,11.287478,0,-8.6,2018,0,0.576733494
TX,4,0,52.66585087,53.42,7.8830824,0,-8.6,2018,0,1.202433818
TX,7,0,-5.056218981,13.15,4.4180119,0,-8.6,2018,0,-4.42707363
TX,8,0,48.57378189,54.05,3.0224525,0,-8.6,2018,0,1.633794706
TX,10,0,4.266032544,16.9,3.4686971,0,-8.6,2018,0,-3.721206287
TX,11,0,61.69972366,61.49,6.8879668,0,-8.6,2018,0,1.853158853
TX,12,0,30.37829946,35.09,3.876652,0,-8.6,2018,0,0.063919191
TX,13,0,64.61827918,64.67,3.2967033,0,-8.6,2018,0,4.070107911
TX,14,0,19.92512621,22.5,7.257384,0,-8.6,2018,0,-0.170519265
TX,17,0,15.49224566,22.62,6.7119796,0,-8.6,2018,0,-0.857553312
TX,19,0,50.45275639,51.34,3.6595745,0,-8.6,2018,1,3.773437156
TX,22,0,4.908121921,19.43,3.955288,0,-8.6,2018,0,-3.556698546
TX,23,0,0.440807544,2.54,7.2696534,0,-8.6,2018,0,-0.89472415
TX,24,0,3.069645962,16.88,6.0230292,0,-8.6,2018,0,-2.339334174
TX,25,0,8.746589264,20.34,5.0377834,0,-8.6,2018,0,-2.159182298
TX,26,0,20.35583431,33.78,8.0236486,0,-8.6,2018,0,-1.101937552
TX,27,0,23.71457085,25.95,4.3010753,0,-8.6,2018,1,1.198836451
TX,31,0,2.908320426,19,4.0205304,0,-8.6,2018,0,-3.92019908
TX,32,0,-6.518394892,9.56,3.5264484,0,-8.6,2018,0,-5.235829593
TX,36,0,45.11705023,49.11,5.8129739,0,-8.6,2018,0,0.860161651
UT,1,0,36.71721719,42.07,4.1737649,0,-8.6,2018,0,0.386906362
UT,2,0,17.19645687,26.32,4.8264183,0,-8.6,2018,0,-1.385536584
UT,3,0,40.24214048,40.85,4.173913,0,-8.6,2018,1,2.652327799
UT,4,0,-0.257732916,21.15,6.1116032,0,-8.6,2018,0,-3.347530467
VA,1,0,10.47452432,15.75,6.4543168,0,-8.6,2018,0,-0.911033788
VA,2,0,-2.235918069,6.69,5.8098592,0,-8.6,2018,1,-1.217810075
VA,7,0,-1.939377307,11.94,7.3417722,0,-8.6,2018,0,-2.122122409
