congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,Average,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
113,House,20507,44,12,GA,100,0.603161398,1,"BARROW, John",B001252,1955,,-0.119,0.46,-392.97464,0.68,1020,154,,-0.134,0.523
113,House,20712,44,4,GA,100,0.855777585,1,"JOHNSON, Hank",J000288,1954,,-0.468,0.01,-148.08655,0.8576,964,62,,-0.478,0.137
113,House,20753,44,10,GA,200,0.796058269,1,"BROUN, Paul C., Jr.",B001262,1946,,0.913,-0.408,-326.47545,0.721,998,135,,0.991,-0.136
113,House,20962,44,14,GA,200,0.894514768,1,"GRAVES, Tom",G000560,1970,,0.722,-0.002,-133.45809,0.87611,1009,84,,0.753,-0.099
113,House,21122,44,7,GA,200,0.885328836,1,"WOODALL, Rob",W000810,1970,,0.598,-0.192,-184.6453,0.83232,1006,93,,0.699,-0.383
113,House,21123,44,8,GA,200,0.94092827,1,"SCOTT, Austin",S001189,1969,,0.569,0.183,-106.52407,0.8999,1010,39,,0.549,0.367
113,House,21323,44,9,GA,200,0.911535126,1,"COLLINS, Doug",C001093,1966,,0.61,0.122,-126.18856,0.87872,976,66,,0.651,0.084
113,House,29338,44,1,GA,200,0.917874396,1,"KINGSTON, Jack",K000220,1955,,0.54,0.302,-130.70729,0.864,897,49,,0.69,-0.059
113,House,29339,44,2,GA,100,0.76984127,1,"BISHOP, Sanford Dixon, Jr.",B000490,1947,,-0.282,0.464,-267.7444,0.75814,967,133,,-0.302,0.531
113,House,21124,82,1,HI,100,0.865630713,1,"HANABUSA, Colleen",H001050,1951,,-0.37,0.004,-114.91725,0.88025,901,45,,-0.361,-0.038
113,House,21324,82,2,HI,100,0.820534944,1,"GABBARD, Tulsi",G000571,1981,,-0.278,-0.262,-219.85668,0.79977,984,83,,-0.271,-0.091
113,House,21125,63,1,ID,200,0.879340278,1,"LABRADOR, Raúl R.",L000573,1967,,0.735,-0.571,-206.15415,0.81098,984,92,,0.765,-0.59
113,House,29910,63,2,ID,200,0.946382979,1,"SIMPSON, Michael K.",S001148,1950,,0.297,0.284,-93.88048,0.91039,1000,28,,0.29,0.415
113,House,20508,21,3,IL,100,0.770797963,1,"LIPINSKI, Daniel",L000563,1966,,-0.229,0.178,-282.88477,0.75297,997,128,,-0.205,0.083
113,House,20715,21,6,IL,200,0.957698816,1,"ROSKAM, Peter",R000580,1961,,0.429,0.018,-112.96879,0.89408,1009,47,,0.392,0.362
